X,y,Z
-2733,2029,2632
-3683,-2281,3690
-2585,2010,2566
-3137,-1293,2993
-3455,1333,2940
-2585,-328,2737
-3380,605 3,10
-2641,-2457,2698
-3141,1029,2937
-3189,-1791,3255
-2366,3359,2225
-3193,-1675,2913
-2017,2479,1728
-3581,-3104,3524
-2838,265 2,988
-2718,-2080,2992
-3081,1111,3171
-3004,-344,3700
-3290,-367,3077
-2503,-1273,2568
-3006,-1674,3146
-3552,-75 3,483
-1770,2673,2104
-3250,-636,3530
-2433,3033,2154
-3629,-4967,3406
-2258,1424,1555
-3197,-1673,2968
-3095,2844,3554
-2517,773 2,486
-3015,-3012,3309
-3015,1536,3221
-3187,-5550,3734
-3086,2197,2725
-2599,-585,2975
-3125,4135,3249
-2602,-1610,2224
-2300,-973,2444
-3546,-2137,3148
-2240,26 28,49
-3126,2713,2535
-2170,1130,1873
-3730,1690,3967
-3359,-2532,3122
-2268,-1629,2250
-3436,1911,3793
-2843,1882,3543
-3225,3208,2659
-2268,-2906,1712
-2458,-2817,2942
-3909,-369,3761
-1794,1938,1898
-3024,1616,2899
-2555,80 30,10
-3697,-2570,3589
-3176,-2162,2724
-2088,412 2,119
-4172,1057,4415
-2252,2582,2825
-2620,-636,1951
-2941,-1509,3363
-3337,-3276,3037
-3014,2162,2178
-2068,1719,1339
-2493,1242,2178
-3409,-3292,3861
-2814,-88 3,79
-2842,-2257,2945
-2514,2218,3123
-3742,110 3,715
-2544,2670,2662
-3141,-4260,3107
-3136,179 3,455
-3057,-3716,3274
-3080,2844,3395
-2612,429 2,118
-2769,1604,2868
-2988,-360,2137
-2528,-2076,2618
-3484,-484,3244
-2394,450 2,723
-3014,-314,3257
-2973,1171,3280
-2498,-2316,2990
-3727,-415,3457
-2493,-2085,2879
-3229,1646,2888
-2425,836 2,649
-2743,306 2,980
-3122,-1252,2541
-2110,-1377,2323
-3609,-322,2947
-2920,1608,2983
-2953,2553,2680
-2895,-936,2858
-2680,-589,3168
-4116,-1572,3920
-1603,557 1,982
-3629,-490,3572
-2945,1036,2764
-2624,-2390,3376
-3536,649 3,629
-1590,-464,2416
-3905,811 4,199
-2193,-1029,2132
-3085,278 2,290
-3137,-1409,2816
-2444,1416,2006
-3579,-578,3602
-1885,2357,1293
-3497,-2975,4377
-2998,1708,3505
-3007,-4744,3771
-2843,4156,2800
-2891,-2328,2378
-3344,4794,3496
-2544,-2061,2043
-2461,832 2,864
-3879,-2310,3696
-2067,2428,2569
-3635,1011,3245
-2307,1963,2304
-3098,-577,2859
-3563,142 2,996
-1652,-1599,2398
-4060,1500,3654
-2255,260 2,659
-3020,649 3,208
-3005,-1740,2926
-2761,-675,2899
-4173,386 3,60
-1331,2370,1664
-3456,4813,2950
-2629,-2782,3118
-3145,-319,2917
-3162,-4280,3074
-2874,1813,3413
-3949,-404,4053
-1967,3281,2191
-2964,-1933,3040
-3055,-1778,3063
-2407,-1496,2495
-2997,162 2,442
-2544,1413,2766
-3280,106 3,590
-2777,702 1,988
-1998,-1990,2428
-4381,-478,4153
-1639,35 18,3
-3305,597 2,590
-2756,1547,2475
-3106,-1595,3670
-3525,-1524,3397
-1897,-1014,2314
-4208,68 42,91
-2308,2526,2244
-3299,834 2,266
-2491,1012,2275
-2778,-1402,2780
-4021,-764,3113
-1965,-1290,2442
-3243,1486,2920
-2655,-49 3,444
-3118,1294,2993
-3426,-2712,3092
-2316,-28 2,749
-3811,-322,3687
-2362,1285,2559
-2524,589 2,484
-3176,-329,3664
-2797,-1742,2645
-3288,-1146,3488
-2593,36 23,36
-2959,1187,2712
-3768,940 3,452
-1869,1569,1421
-3772,-2092,3436
-1865,991 1,998
-3788,-2498,3322
-2535,831 2,475
-2461,-33 2,38
-3619,1301,3203
-2236,-244,2559
-3572,-2208,3192
-2167,770 2,78
-3575,-187,3273
-3066,1188,3128
-2588,-227,1867
-3373,107 2,643
-2844,-708,2473
-3144,-537,3304
-2901,2304,2287
-2271,-1670,2214
-3686,2138,3581
-2682,-2074,2201
-3226,-1012,2999
-2600,2003,1597
-2801,-1451,3132
-3560,3620,2289
-2269,-6282,2977
-3126,6075,1956
-3108,-5256,3238
-2928,5809,2713
-3168,-5081,3082
-2710,3483,2789
-3807,-3445,3418
-2159,-990,2977
-3057,1332,2535
-2916,-258,2774
-2229,670 1,818
-3116,-2498,2592
-2222,869 2,34
-3873,-2169,3627
-2719,789 2,108
-2559,-308,2257
-3456,2353,3430
-2956,-791,3866
-3323,305 2,562
-2705,-2556,3010
-3014,2072,2691
-3311,-976,4223
-2337,3524,1554
-2977,-2232,2926
-2751,2856,2552
-3362,-3510,3175
-2295,2993,2173
-3022,-3187,3194
-3125,4036,3175
-2628,-4002,2187
-2963,2585,2470
-3564,-2983,3961
-2556,2087,2181
-3355,186 2,350
-1918,933 2,391
-4132,968 3,898
-2438,-556,2224
-2211,-1984,1862
-3973,-181,4178
-2889,973 2,709
-3186,2639,2757
-1768,2911,1221
-3909,-1291,3676
-2747,-32 2,665
-2420,-1496,1779
-2902,1164,3287
-3070,1152,2842
-3029,383 2,987
-2647,-1051,2489
-3136,237 2,673
-3341,-1794,3040
-2200,3378,1344
-2989,-1561,3216
-3027,3612,2706
-2533,-3277,3033
-3554,1369,2955
-2330,-2616,2294
-4221,2636,3257
-1835,529 2,386
-2691,2163,2364
-3483,559 3,500
-2473,-1528,3107
-3685,-730,3102
-1841,827 1,820
-3502,2398,2566
-2623,1200,2866
-2691,342 2,129
-3216,-243,3176
-2492,287 2,545
-3180,-726,2980
-3121,1598,2892
-2646,573 2,910
-3070,1984,2978
-2758,-1038,2788
-3345,133 3,846
-2843,-782,2661
-2977,207 3,421
-3590,1351,3263
-1981,-427,2946
-3960,92 40,8
-2034,-1051,2320
-3539,-349,3693
-2790,689 2,884
-2539,770 2,230
-3369,2905,2730
-2035,-3006,2083
-3356,1771,2793
-2686,-3697,2775
-3012,2707,3455
-3317,-3511,4180
-2276,4055,2424
-3259,-2079,2745
-2372,1350,1981
-3422,-1150,2788
-2740,-1014,2179
-2421,-332,2706
-3609,-838,3920
-2310,1721,2533
-3180,-1952,3637
-3049,1263,2573
-3371,-3360,2860
-3282,2478,2451
-1832,-832,1452
-3430,2306,3666
-2769,-704,2709
-2284,-438,2362
-3256,-788,3131
-2563,989 2,56
-3937,-147,3512
-2043,1783,1370
-3084,-1849,3144
-3435,2749,3169
-2431,-2849,2750
-3277,1936,2444
-2182,-1543,1807
-4051,245 3,447
-2456,1689,2016
-2345,-777,1490
-3604,2264,3007
-2018,-1673,2038
-3472,1328,3265
-2402,234 2,282
-3371,1068,3917
-3201,526 2,926
-2068,-161,1788
-3828,1115,3513
-3224,-636,2805
-2497,2434,1576
-2796,-795,1900
-2628,1179,2637
-3986,500 3,409
-2119,-1082,1673
-2649,2579,2341
-3259,802 3,150
-2671,3349,2996
-3755,-2569,3219
-1581,1085,1695
-4329,-1613,3802
-2648,2029,3131
-2701,-1497,2681
-3392,2417,3333
-2241,-1885,2131
-4137,-1290,4604
-2266,211 1,857
-3122,-103,2921
-3340,2792,2524
-1903,-1392,2614
-3488,1671,3167
-2746,-3261,3445
-2807,684 2,515
-2989,-1393,3659
-2774,2056,2886
-3401,-104,3413
-2353,457 2,238
-3494,-124,3716
-2827,-2443,2880
-2917,630 3,127
-3129,1779,3164
-2489,-56 2,695
-3181,1444,2706
-3221,-2286,2661
-2868,-450,2302
-3410,-208,3417
-1767,2080,1914
-3819,1196,4176
-2496,836 2,212
-3135,-1865,3623
-3103,789 2,92
-2696,-1131,2943
-3792,632 3,116
-1413,827 1,744
-3590,232 3,166
-2668,698 2,938
-2975,-2027,2526
-2846,650 2,419
-2753,-792,3181
-3506,1378,2959
-2150,-182,1974
-2963,1899,2698
-3586,-2870,3743
-2760,665 1,976
-2721,-709,1977
-2712,2766,2939
-3338,2842,3596
-2673,-1615,2594
-2189,-578,2376
-4242,-2023,3795
-2480,-578,3129
-3139,2167,2407
-2630,-1099,2860
-2795,3023,3717
-3669,-3344,3937
-1566,335 1,429
-3614,-1229,3148
-2058,1030,1913
-3350,388 2,730
-2309,341 2,72
-2815,-1308,2893
-3867,-1401,4631
-1893,1482,2265
-3473,-2338,3338
-2624,5349,2309
-3781,-3910,3576
-2613,4858,2078
-2360,-2890,2338
-3348,1500,3381
-2906,-924,2501
-2157,2306,1848
-2885,390 2,52
-2657,2799,1795
-3763,-1441,3362
-2191,400 2,86
-3423,-2290,4174
-2962,2353,2961
-2734,-439,3628
-3221,2175,2623
-2856,-647,1900
-3364,1008,1968
-2272,-1364,1620
-2749,3478,1711
-3009,1392,2715
-2220,-339,1910
-3103,-216,2915
-3449,164 3,216
-2566,3366,2264
-3353,-1209,2438
